Question,Ground_Truth
Năm nào Ahmed Zewail được trao Giải thưởng?,1996
Albert Einstein đã nhận học vị ở đâu?,Đại Học Zurich
Anwar Sadat mất vào ngày nào?,6 Tháng 10
August Wilhelm Von Hofmann mất ở đâu?,/Tỉnh Bang Brandenburg
Andrea M. Ghez làm việc tại trường lớp nào?,Viện Công Nghệ California
Alfred Kleiner sinh ở quốc gia nào?,Thụy Sĩ
Năm nào Abdus Salam nhận Giải thưởng?,1979
Năm nào Adolf Otto Reinhold Windaus sinh ra?,1876
Ở đâu André Frédéric Cournand sinh ra?,Paris
Anton Zeilinger đã đạt được danh hiệu học vị gì?,Doctor Of Philosophy
Bjørnstjerne Bjørnson đã mất ở đâu?,Paris
Trường đại học nào Anton Zeilinger làm việc tại?,/TU Wien
"Ai là người được đề cập trong Triple ""Arnold Sommerfeld - Các nghiên cứu sinh nổi tiếng - /Walter Rogowski""?",/Walter Rogowski
Ai là người được ảnh hưởng bởi Amartya Sen?,/Nancy Folbre
Ben Feringa làm việc tại đâu?,Đại Học Groningen
Ai là chủ tịch của Chính Phủ Quân Sự Lâm Thời Ethiopia Xã Hội Chủ Nghĩa?,Chính Phủ Quân Sự Lâm Thời Ethiopia Xã Hội Chủ Nghĩa
Alan J. Heeger đã làm việc tại trường nào?,Đại Học Nebraska
Ahmed Zewail đã nhận được giải thưởng nào mà có liên quan đến Đức?,Giải Humboldt
Albert Szent-Györgyi sinh ở đâu?,/Áo Hung
Ai là người phát hiện ra tín hiệu đầu tiên của pulsar?,Jocelyn Bell Burnell
Adam Riess làm việc tại đâu?,/Viện Khoa Học Kính Thiên Văn Không Gian
Quốc gia nào Adolf Von Baeyer sinh ra?,Đức
Danh sách những người đã đoạt Giải Nobel Kinh tế nằm trong lĩnh vực nào?,Danh Sách Người Đoạt Giải Nobel Kinh Tế
Barbara McClintock làm việc tại đâu?,Đại Học Missouri
Năm nào Albert Schweitzer đã giành Giải thưởng?,1952
Năm nào Albert Schweitzer đã nhận Giải thưởng?,1928
Vai trò quan trọng của Charles K. Kao trong lĩnh vực nào đã khiến ông được trao tặng /Huân Chương IEEE Alexander Graham Bell?,/Huân Chương IEEE Alexander Graham Bell
Ai là quốc gia mà nhà văn Anatole France sinh ra và mất?,Pháp
Danh sách những người đoạt giải Nobel Sinh lý học và Y khoa bao gồm những ai?,Danh Sách Người Đoạt Giải Nobel Sinh Lý Học Và Y Khoa
Nơi Burton Richter mất là ở đâu?,"Stanford, California"
Nơi Daniel Kahneman công tác là đâu?,"Đại Học California, Berkeley"
Ngày nào André Gide sinh?,22 Tháng 11
Abiy Ahmed đã có liên kết với trường đại học nào trong lĩnh vực giáo dục?,/Microlink Information Technology College
Charles Édouard Guillaume sinh ở đâu?,/Fleurier
Bernardo Houssay sinh ở đất nước nào?,Argentina
August Kekulé sinh ở quốc gia nào?,Đức
Ai là những người đã đoạt Giải Nobel Hóa Học?,Danh Sách Người Đoạt Giải Nobel Hóa Học
Abhijit Banerjee đã đạt học vị gì?,/Đại Học Jawaharlal Nehru
Bạn học vị của David MacMillan là gì?,"/Đại Học California, Irvine"
Ai đã nhận Giải Sveriges Riksbank Về Khoa Học Kinh Tế Trong Ký Ức Của Alfred Nobel?,/Giải Sveriges Riksbank Về Khoa Học Kinh Tế Trong Ký Ức Của Alfred Nobel
Trang web nào mà Alan Turing đã được đề cập tại trường lớp?,Http://Ktdn.Edu.Vn
David MacMillan đã đoạt giải thưởng nào trong lĩnh vực Hóa Học?,Giải Nobel Hóa Học
Charles Brenton Huggins sinh ở thành phố nào?,Thành Phố Halifax
Charles T. R. Wilson sinh ở đâu?,/Midlothian
Ai là người hướng dẫn luận án tiến sĩ của Alfred Kleiner?,Không có người hướng dẫn tiến sĩ
Ai là người được đề cử trong Triple: August Wilhelm Von Hofmann - Các nghiên cứu sinh nổi tiếng - /Rudolf Hugo Nietzki?,/Rudolf Hugo Nietzki
Ai là phối ngẫu của Albert Einstein?,/Elsa Einstein
Alexis Carrel nổi tiếng trong lĩnh vực nào?,Sinh Học
Ở thành phố nào Allvar Gullstrand đã qua đời?,Stockholm
Brian Kobilka sinh ở đâu?,"Little Falls, Minnesota"
Ai là người hướng dẫn luận án tiến sĩ của David Julius?,Không có người hướng dẫn tiến sĩ
Năm nào Donald A. Glaser nhận Giải thưởng?,1960
Arthur Eddington đã nhận được giải thưởng nào từ Hội Thiên văn Hoàng gia?,/Gold Medal Of The Royal Astronomical Society
Bạn biết trường đại học nào Alvin E. Roth từng làm giáo sư không?,Đại Học Stanford
Ai là người cộng tác nghiên cứu nổi tiếng của Abdus Salam?,/Riazuddin
David J. Thouless đã được trao giải thưởng nào?,/Maxwell Medal And Prize
Albert Szent-Györgyi công tác tại trường đại học nào?,/Đại Học Semmelweis
Ai là người đồng nghiệp nổi tiếng của Adolf Von Baeyer trong lĩnh vực nghiên cứu?,/Carl Gräbe
Ai là người sinh ra tại Beshasha?,/Beshasha
Donald A. Glaser đã nhận được giải thưởng nào vào lĩnh vực Vật Lý?,Giải Nobel Vật Lý
Quốc gia nào Adolf Otto Reinhold Windaus sinh ra?,Đức
Alfred Sturtevant làm việc tại đâu?,Viện Công Nghệ California
Nơi Artturi Ilmari Virtanen công tác là trường đại học nào?,Đại Học Helsinki
Ở đâu Al Gore sinh ra?,"Washington, D.C"
Năm nào Abdus Salam đã nhận Giải thưởng?,1964
Quốc gia nào là quê hương của Ben R. Mottelson?,Đan Mạch
Ai đã giành giải thưởng Giải Phổ Học Edgar Bright Wilson?,Giải Phổ Học Edgar Bright Wilson
Quốc tịch của Daniel Kahneman là gì?,Hoa Kỳ
Andre Geim đã đạt được thành tựu gì nổi bật?,Giải Nobel
Năm Alfred Werner sinh là năm nào?,1866
Giải thưởng nào mà Charles Thomson Rees Wilson đã đoạt được?,/Giải Của Viện Franklin
Ahmed Zewail sinh ở thành phố nào?,/Damanhour
Trường học nào mà Clifford Shull đã từng tham gia?,/Học Viện Công Nghệ Carnegie
Arne Tiselius sinh vào ngày nào?,10 Tháng 8
Daniel Kahneman làm việc ở đâu?,"/Đại Học Hebrew, Jerusalem"
Albert Einstein sinh ở đế quốc nào?,Đế Quốc Đức
Năm sinh của Alfred Hershey là năm nào?,1908
Nơi sinh của Allvar Gullstrand là ở đâu?,Landskrona
Ai là những người đã đoạt giải Nobel Hóa Học?,Danh Sách Người Đoạt Giải Nobel Hóa Học
Quốc gia nào mà Boris Pasternak mất trong thời gian Liên Xô tồn tại?,Liên Xô
Quốc tịch của Charles J. Pedersen là gì?,Hoa Kỳ
Ai đã được trao giải Nobel Hóa Học?,Nobel Hóa Học
Carl David Anderson đã đạt được bằng cấp nào?,B.S
Ai là người đã ảnh hưởng đến Amartya Sen?,Mary Wollstonecraft
Ai là người được biết đến với tên gọi /Tehshik Yoon?,/Tehshik Yoon
"Ai là tác giả của cuốn sách ""Mất""?",Pháp
Ben R. Mottelson sinh ở đâu?,Hoa Kỳ
"Người nào đã được trao Giải thưởng Nobel trong lĩnh vực Vật lý và được vinh danh với danh hiệu ""/Hiệp Sĩ Cử Nhân""?",/Hiệp Sĩ Cử Nhân
Ai đã ảnh hưởng đến Albert Einstein?,Hermann Minkowski
Ai là người nghiên cứu sinh nổi tiếng liên quan đến Arnold Sommerfeld?,/Rudolf Seeliger
Năm nào Alfred Werner đã được trao giải thưởng?,1913
Ai là người đã mất vào thời gian Bertha Von Suttner?,Viên
Ben R. Mottelson đã giảng dạy tại trường đại học nào?,Đại Học Harvard
Albert Einstein nhận được giải thưởng nào trong sự nghiệp của mình?,Huy Chương Max Planck
André Frédéric Cournand làm việc tại nơi nào?,Đại Học Columbia
Quốc tịch của Alfred G. Gilman là gì?,Hoa Kỳ
Abhijit Banerjee học vị gì tại đâu?,Đại Học Harvard
Ai đã được trao Giải thưởng ACS Award In Pure Chemistry?,/ACS Award In Pure Chemistry
Anton Zeilinger đã nhận giải thưởng nào?,/Giải Tưởng Nhớ Klopsteg
Học vị cao nhất mà Akira Yoshino đạt được là gì?,Doctor Of Philosophy
Adolf Otto Reinhold Windaus mất ở đâu?,Göttingen
Ai là người đã ảnh hưởng đến Amartya Sen?,Adam Smith
Albert Abraham Michelson đã được trao giải thưởng nào trong lĩnh vực Vật Lý?,Giải Nobel Vật Lý
Quốc tịch của Anne L'Huillier là gì?,Pháp
Adolf Butenandt sinh sống và làm việc tại quốc gia nào?,Đức
Clinton Davisson làm việc tại đâu?,/Bell Labs
Ai là người hướng dẫn luận án tiến sĩ của Claudia Goldin?,Robert Fogel
Vị nhà vật lý nào đã được trao giải thưởng /Sitara-E-Pakistan?,/Sitara-E-Pakistan
Quốc tịch của Charles Nicolle là gì?,Pháp
Ai là người đã làm việc với Abram Ioffe và được biết đến là một nhà nghiên cứu nổi tiếng?,Pyotr Kapitsa
Quốc gia nào là quê hương của nhà kinh tế học Amartya Sen?,Ấn Độ
Ngày nào Bjørnstjerne Bjørnson mất?,26 Tháng 4
Ai đã được trao Giải Thưởng Lenin vì công lao trong lĩnh vực của mình?,Giải Thưởng Lenin
Danh sách những người đoạt Giải Nobel Sinh lý học và Y khoa bao gồm ai?,Danh Sách Người Đoạt Giải Nobel Sinh Lý Học Và Y Khoa
Nơi Abdus Salam công tác là trường đại học nào tại Lahore?,"/Đại Học Chính Phủ College, Lahore"
Ai là người sáng lập ra công ty dược phẩm Janssen Pharmaceuticals?,/Paul Janssen
Ai là người nghiên cứu sinh nổi tiếng trong Triple Carolyn R. Bertozzi - Các nghiên cứu sinh nổi tiếng - /Jennifer Prescher?,/Jennifer Prescher
Nơi nào mà André Gide qua đời?,Paris
Ai là người nghiên cứu cùng với Carl David Anderson?,/Seth Neddermeyer
Andrew Schally học vị ở đâu?,Đại Học McGill
Anton Zeilinger đã đạt được danh hiệu Habilitation ở trường lớp nào?,Habilitation
Carol W. Greider đã làm gì trong trường hợp không có người hướng dẫn tiến sĩ?,Không có người hướng dẫn tiến sĩ
Alfred Hershey sinh ở đâu?,/Owosso
Bạn biết Archer John Porter Martin học ở đâu không?,"/Peterhouse, Cambridge"
Ai là người được kết nạp vào viện hàn lâm Khoa học quốc gia Hoa Kỳ vào năm 1959?,/Ernst Guillemin
August Wilhelm Von Hofmann làm việc tại đâu?,Đại Học Bonn
Quốc tịch của Abhijit Banerjee là gì?,Hoa Kỳ
Albert Camus sinh ở đâu?,Algérie Thuộc Pháp
Ai là người đã ảnh hưởng đến Christopher A. Pissarides?,/Michio Morishima
Albert Claude học ở trường nào?,/Đại Học Liège
Alan MacDiarmid sinh ở đâu?,/Masterton
Ai là người đã ảnh hưởng đến triết lý của Amartya Sen?,John Stuart Mill
Đâu là nơi mà Donald A. Glaser đã qua đời?,California
Người nào sinh ra ở đâu?,Cộng Hòa Xã Hội Chủ Nghĩa Xô Viết Liên Bang Nga
Albert Einstein đã đạt được danh hiệu nào trong lĩnh vực Vật Lý?,Giải Nobel Vật Lý
Anne L'Huillier đã nhận được giải thưởng nào?,/BBVA Foundation Frontiers Of Knowledge Award
Năm nào Alexander Prokhorov sinh ra?,1916
Quốc gia nào mà Clifford Shull sinh ra?,Hoa Kỳ
Ai đã đoạt giải thưởng Körber?,/Giải Körber
Ai là người đã được trao Huy Chương Copley?,Huy Chương Copley
Năm Bjørnstjerne Bjørnson sinh là năm nào?,1832
Ai là người hướng dẫn luận án tiến sĩ của Anton Zeilinger?,Không có người hướng dẫn tiến sĩ
Ben R. Mottelson làm việc tại đâu?,/Viện Vật Lý Lý Thuyết Bắc Âu
Quốc tịch của Adolf Von Baeyer là gì?,Đức
Bjørnstjerne Bjørnson hoạt động trong lĩnh vực nghề nghiệp nào?,Nhà Thơ
"Alexander R. Todd, Baron Todd học tại trường lớp nào?",Đại Học Oxford
Ở đâu André Gide sinh ra?,Paris
Nơi nào Bertha Von Suttner sinh ra?,Praha
Adam Riess sinh ở đâu?,Hoa Kỳ
Ai là người hướng dẫn tiến sĩ của Abhijit Banerjee?,Không có người hướng dẫn tiến sĩ
Anne L'Huillier có học vị gì?,Tiến Sĩ
Ai là người phối ngẫu của Albert Camus?,/Francine Faure
Quốc tịch của Aage Bohr là gì?,Đan Mạch
Tên của nghiên cứu sinh nổi tiếng nào được đề cập trong Triple?,/Lisa Marcaurelle
Quốc gia nào Ales Bialiatski sinh ra trong quá khứ?,Liên Xô
Ai từng là tổng thống của Ai Cập trong thời kỳ Vương Quốc Hồi Giáo?,Vương Quốc Hồi Giáo Ai Cập
Aleksandr Solzhenitsyn đã được vinh dự nhận giải thưởng nào?,/Huy Chương Vàng Lomonosov
Bob Dylan sinh ở thành phố nào?,"Duluth, Minnesota"
Charles Glover Barkla làm việc tại đâu?,Đại Học Edinburgh
Dario Fo mất ở thành phố nào?,Milan
Nơi Abhijit Banerjee công tác là đâu?,Viện Công Nghệ Massachusetts
Aleksandr Solzhenitsyn làm nghề gì?,Nhà Văn
Thành phố nào là nơi Dominique Pire mất?,Leuven
Ai là người đồng tác giả với Daniel Kahneman trong các nghiên cứu nổi tiếng?,/Ziv Carmon
Anton Zeilinger làm việc tại đâu?,"/Merton College, Oxford"
Boris Pasternak mất ở đâu?,/Peredelkino
Ai là người hướng dẫn luận án tiến sĩ của Adolf Otto Reinhold Windaus?,Adolf Otto Reinhold Windaus
Ales Bialiatski sinh ở đâu?,Cộng Hòa Xã Hội Chủ Nghĩa Xô Viết Liên Bang Nga
Trường nào Dominique Pire đã theo học?,/Đại Học Công Giáo Leuven
Trường nào mà Corneille Heymans đã tốt nghiệp?,/Đại Học Ghent
Ai là người hướng dẫn luận án tiến sĩ của Carl David Anderson?,Robert A. Millikan
Nơi nào Ben Roy Mottelson mất?,Copenhagen
Ai đã được trao giải thưởng /Japan Prize?,/Japan Prize
Quốc tịch của Archer John Porter Martin là gì?,Anh
Bertha Von Suttner nổi tiếng với nghề nghiệp nào?,Tiểu Thuyết Gia
Ai là người hướng dẫn tiến sĩ của Albert Einstein?,Không có người hướng dẫn tiến sĩ
Ai là người đo lường chính xác đầu tiên về sự gia tăng của vũ trụ và đã được trao Giải Nobel Vật Lý?,Giải Nobel Vật Lý
"Năm nào Alexander R. Todd, Baron Todd đã giành giải thưởng?",1957
Adolf Butenandt đã nhận được giải thưởng nào vào thời kỳ Chiến tranh Thế giới II?,/Kriegsverdienstkreuz
"Quốc tịch của Alexander R. Todd, Baron Todd là gì?",Scotland
Ai là người hướng dẫn luận án tiến sĩ của August Wilhelm Von Hofmann?,Justus Von Liebig
Ai là người nghiên cứu sinh nổi tiếng liên quan đến Arnold Sommerfeld?,/Helmut Hönl
Corneille Heymans mất ở đâu?,/Knokke
Ai đã nhận Giải L'Oréal-UNESCO Cho Phụ Nữ Trong Khoa Học?,Giải L'Oréal-UNESCO Cho Phụ Nữ Trong Khoa Học
Ai đã được trao Giải Nobel Vật Lý vào năm 1966?,Giải Nobel Vật Lý
Bạn có thể cung cấp link đến luận án của Barbara McClintock về nghiên cứu cytological và genetical của cây bắp không?,Http://Cornell.Worldcat.Org/Title/Cytological-And-Genetical-Study-Of-Triploid-Maize/Oclc/64683107
Dmitry Muratov sinh ở đâu trong quá khứ?,Liên Xô
Ai đã nhận Huy Chương Priestley?,Huy Chương Priestley
Ai không có người hướng dẫn tiến sĩ trong luận án của mình?,Không có người hướng dẫn tiến sĩ
Ở đâu Daron Acemoglu sinh ra?,Istanbul
Aaron Klug đã mất ở đâu?,Cambridge
"Ai là người được đề cử trong Triple ""Arnold Sommerfeld - Các nghiên cứu sinh nổi tiếng - /Walther Kossel""?",/Walther Kossel
Bertil Ohlin sinh ở đâu?,Hạt Skåne
Nơi Charles Thomson Rees Wilson mất là ở đâu?,Edinburgh
Andrei Sakharov đã nhận được giải thưởng nào vào năm 1975?,Giải Nobel Hòa Bình
Ai là người nghiên cứu cùng với Anton Zeilinger trong lĩnh vực khoa học?,/Thomas Jennewein
Ai là người hướng dẫn luận án tiến sĩ của Adolf Von Baeyer?,Không có người hướng dẫn tiến sĩ
Giải thưởng nào Aleksandr Solzhenitsyn từng nhận được?,/Giải Thưởng Quốc Tế Botev
Quốc tịch của Clinton Davisson là gì?,Hoa Kỳ
David MacMillan sinh ở đâu?,/Bellshill
C.V. Raman đã được trao giải thưởng nào cao quý nhất ở Ấn Độ?,/Bharat Ratna
Ai là phối ngẫu của Barack Obama?,Michelle Obama
Barbara McClintock đã làm việc ở đâu?,Đại Học Cornell
Alan Turing sinh ở đâu?,Luân Đôn
Đất nước nào là quê hương của nhà hóa học nổi tiếng Alfred Werner?,Thụy Sĩ
Anne L'Huillier đã đạt được học vị nào?,Bachelor Of Arts
Daniel Kahneman làm việc tại đâu?,Đại Học British Columbia
Quốc tịch của Alfred Werner là gì?,Thụy Sĩ
Nơi sinh của Alfred G. Gilman là ở đâu?,Connecticut
Ai là người nghiên cứu cùng với Adolf Von Baeyer và nổi tiếng trong lĩnh vực hóa học?,/Victor Villiger
Ở đâu Akira Yoshino làm việc?,/Meijo University
Nơi Charles Brenton Huggins sinh là ở đâu?,Nova Scotia
Bạn có biết Copernicus từng làm giáo sư tại trường lớp nào trước khi trở thành giáo sư tại đại học Padova không?,Đại Học Padova
Brian Kobilka học tại trường đại học nào?,Đại Học Yale
Amartya Sen sinh ra ở đâu?,Santiniketan
Alfred Kleiner sinh ở đâu?,Maschwanden
"Vật lý nào nghiên cứu về các hiện tượng và lý thuyết trong vũ trụ, nguyên tử và các phân tử?",Vật Lý Hiện Đại
Alice Munro sinh ở tỉnh nào?,Ontario
Ở đâu Akira Yoshino đã nhận học vị?,Đại Học Osaka
Alice Munro đã từng giành giải thưởng nào trong danh sách dưới đây?,Giải Man Booker Quốc Tế
Trường đại học nào mà Alfred Kleiner là giáo sư?,Đại Học Zürich
Daron Acemoglu đã từng nhận được giải thưởng nào?,/Giải Thưởng John Von Neumann
Ai đã được trao /Huy Chương Franklin?,/Huy Chương Franklin
Nơi Carl David Anderson đã mất là ở đâu?,"/San Marino, California"
Albert Einstein đã làm việc tại đâu?,Đại Học Leiden
Dmitry Muratov làm nghề gì?,/Journalist
Adolf Von Baeyer đã đạt được thành tựu gì mà đã giúp ông giành được Giải Nobel Hóa Học?,Giải Nobel Hóa Học
Ai là đồng nghiệp nghiên cứu nổi tiếng của Abdus Salam?,/Fayyazuddin
Nơi công tác của David J. Wineland là đâu?,"/Đại Học Colorado, Boulder"
Giải thưởng nào mà Andrei Sakharov đã nhận được?,/Prix Mondial Cino Del Duca
